Material_Order_ID,Delivery_Date,Order_Date,Order_Number,Material,Restaurant
R6M003000012,1995-04-20,1995-04-17,1000.0,全鴨,0006
R3M003000014,1995-04-21,1995-04-14,2500.0,全鴨,0003
R4M003000008,1995-04-25,1995-04-17,4946.0,全鴨,0004
R2M003000007,1995-04-26,1995-04-21,3652.0,全鴨,0002
R1M003000009,1995-04-27,1995-04-19,1500.0,全鴨,0001
R10M003000013,1995-04-28,1995-04-22,2000.0,全鴨,0010
R2M005000006,1995-04-28,1995-04-23,37051.0,鴨肉片,0002
R7M005000006,1995-04-29,1995-04-27,10000.0,鴨肉片,0007
R3M003000015,1995-04-30,1995-04-23,2500.0,全鴨,0003
R7M003000010,1995-04-30,1995-04-28,2000.0,全鴨,0007
R6M003000013,1995-04-30,1995-04-27,1000.0,全鴨,0006
R6M005000009,1995-05-01,1995-04-28,8000.0,鴨肉片,0006
R2M001000003,1995-05-02,1995-04-27,12000.0,米,0002
R5M003000006,1995-05-03,1995-04-27,2000.0,全鴨,0005
R8M003000007,1995-05-05,1995-04-25,1500.0,全鴨,0008
R7M004000008,1995-05-05,1995-05-03,8000.0,香草,0007
R3M005000007,1995-05-06,1995-04-29,20000.0,鴨肉片,0003
R6M002000002,1995-05-06,1995-05-03,10000.0,麵線,0006
R1M005000008,1995-05-06,1995-04-28,10000.0,鴨肉片,0001
R2M004000003,1995-05-06,1995-05-01,30000.0,香草,0002
R10M003000014,1995-05-08,1995-05-02,2000.0,全鴨,0010
R5M002000002,1995-05-08,1995-05-02,10000.0,麵線,0005
R3M003000016,1995-05-08,1995-05-01,2500.0,全鴨,0003
R9M003000007,1995-05-08,1995-04-30,1500.0,全鴨,0009
R1M004000005,1995-05-09,1995-05-01,10000.0,香草,0001
R1M003000010,1995-05-10,1995-05-02,1500.0,全鴨,0001
R6M003000014,1995-05-10,1995-05-07,1000.0,全鴨,0006
R3M002000002,1995-05-12,1995-05-05,20000.0,麵線,0003
R4M004000003,1995-05-12,1995-05-04,30000.0,香草,0004
R10M005000009,1995-05-12,1995-05-06,15000.0,鴨肉片,0010
R4M003000009,1995-05-12,1995-05-04,2752.0,全鴨,0004
R9M005000008,1995-05-13,1995-05-05,8000.0,鴨肉片,0009
R7M003000011,1995-05-13,1995-05-11,2000.0,全鴨,0007
R7M002000006,1995-05-13,1995-05-11,2000.0,麵線,0007
R2M003000008,1995-05-14,1995-05-09,3000.0,全鴨,0002
R9M002000002,1995-05-14,1995-05-06,10000.0,麵線,0009
R4M002000002,1995-05-14,1995-05-06,20000.0,麵線,0004
R3M004000005,1995-05-17,1995-05-10,30000.0,香草,0003
R3M003000017,1995-05-17,1995-05-10,2500.0,全鴨,0003
R10M003000015,1995-05-19,1995-05-13,2000.0,全鴨,0010
R6M003000015,1995-05-20,1995-05-17,1000.0,全鴨,0006
R6M005000010,1995-05-20,1995-05-17,8000.0,鴨肉片,0006
R8M005000007,1995-05-21,1995-05-11,8000.0,鴨肉片,0008
R4M005000007,1995-05-22,1995-05-14,20000.0,鴨肉片,0004
R7M004000009,1995-05-22,1995-05-20,8000.0,香草,0007
R1M003000011,1995-05-24,1995-05-16,1500.0,全鴨,0001
R5M005000005,1995-05-25,1995-05-19,15000.0,鴨肉片,0005
R3M003000018,1995-05-26,1995-05-19,2500.0,全鴨,0003
R7M003000012,1995-05-26,1995-05-24,2000.0,全鴨,0007
R8M003000008,1995-05-27,1995-05-17,1500.0,全鴨,0008
R2M005000007,1995-05-28,1995-05-23,20000.0,鴨肉片,0002
R10M004000004,1995-05-29,1995-05-23,30000.0,香草,0010
R10M003000016,1995-05-29,1995-05-23,2000.0,全鴨,0010
R5M003000007,1995-05-29,1995-05-23,2297.0,全鴨,0005
R4M003000010,1995-05-29,1995-05-21,4520.0,全鴨,0004
R9M003000008,1995-05-29,1995-05-21,1500.0,全鴨,0009
R1M005000009,1995-05-29,1995-05-21,10000.0,鴨肉片,0001
R6M003000016,1995-05-30,1995-05-27,1000.0,全鴨,0006
R7M001000004,1995-05-30,1995-05-28,5000.0,米,0007
R3M005000008,1995-05-31,1995-05-24,20000.0,鴨肉片,0003
R7M005000007,1995-05-31,1995-05-29,10000.0,鴨肉片,0007
R2M003000009,1995-06-02,1995-05-28,5853.0,全鴨,0002
R10M005000010,1995-06-02,1995-05-27,15000.0,鴨肉片,0010
R3M003000019,1995-06-03,1995-05-27,2500.0,全鴨,0003
R7M002000007,1995-06-04,1995-06-02,2000.0,麵線,0007
R9M005000009,1995-06-05,1995-05-28,8000.0,鴨肉片,0009
R1M001000004,1995-06-06,1995-05-29,6000.0,米,0001
R6M005000011,1995-06-07,1995-06-04,8000.0,鴨肉片,0006
R10M003000017,1995-06-08,1995-06-02,2000.0,全鴨,0010
R1M003000012,1995-06-09,1995-06-01,1500.0,全鴨,0001
R7M003000013,1995-06-09,1995-06-07,2000.0,全鴨,0007
R6M003000017,1995-06-09,1995-06-06,1000.0,全鴨,0006
R7M004000010,1995-06-09,1995-06-07,8000.0,香草,0007
R3M003000020,1995-06-11,1995-06-04,2500.0,全鴨,0003
R1M004000006,1995-06-11,1995-06-03,10000.0,香草,0001
R10M001000003,1995-06-12,1995-06-06,15000.0,米,0010
R4M003000011,1995-06-13,1995-06-05,2538.0,全鴨,0004
R5M004000003,1995-06-13,1995-06-07,20000.0,香草,0005
R8M002000002,1995-06-14,1995-06-04,10000.0,麵線,0008
R1M002000003,1995-06-14,1995-06-06,8000.0,麵線,0001
R8M005000008,1995-06-15,1995-06-05,8000.0,鴨肉片,0008
R4M005000008,1995-06-16,1995-06-08,20000.0,鴨肉片,0004
R8M003000009,1995-06-17,1995-06-07,1500.0,全鴨,0008
R1M005000010,1995-06-17,1995-06-09,10000.0,鴨肉片,0001
R10M005000011,1995-06-18,1995-06-12,15000.0,鴨肉片,0010
R10M003000018,1995-06-18,1995-06-12,2000.0,全鴨,0010
R9M003000009,1995-06-19,1995-06-11,1500.0,全鴨,0009
R6M003000018,1995-06-19,1995-06-16,1000.0,全鴨,0006
R3M004000006,1995-06-20,1995-06-13,30000.0,香草,0003
R3M003000021,1995-06-20,1995-06-13,2500.0,全鴨,0003
R3M005000009,1995-06-21,1995-06-14,20000.0,鴨肉片,0003
R2M003000010,1995-06-21,1995-06-16,3000.0,全鴨,0002
R6M005000012,1995-06-22,1995-06-19,8000.0,鴨肉片,0006
R7M003000014,1995-06-22,1995-06-20,2000.0,全鴨,0007
R7M002000008,1995-06-22,1995-06-20,2000.0,麵線,0007
R2M005000008,1995-06-22,1995-06-17,20000.0,鴨肉片,0002
R5M003000008,1995-06-23,1995-06-17,2000.0,全鴨,0005
R9M005000010,1995-06-23,1995-06-15,8000.0,鴨肉片,0009
R7M005000008,1995-06-24,1995-06-22,10000.0,鴨肉片,0007
R1M003000013,1995-06-24,1995-06-16,1500.0,全鴨,0001
R7M004000011,1995-06-27,1995-06-25,8000.0,香草,0007
R10M003000019,1995-06-28,1995-06-22,2000.0,全鴨,0010
R3M003000022,1995-06-29,1995-06-22,2500.0,全鴨,0003
R6M003000019,1995-06-29,1995-06-26,1000.0,全鴨,0006
R4M003000012,1995-06-30,1995-06-22,2500.0,全鴨,0004
R5M005000006,1995-07-01,1995-06-25,15000.0,鴨肉片,0005
R2M002000003,1995-07-01,1995-06-26,15000.0,麵線,0002
R10M005000012,1995-07-03,1995-06-27,15000.0,鴨肉片,0010
R1M005000011,1995-07-04,1995-06-26,10000.0,鴨肉片,0001
R10M002000003,1995-07-05,1995-06-29,15000.0,麵線,0010
R8M005000009,1995-07-06,1995-06-26,8000.0,鴨肉片,0008
R6M005000013,1995-07-06,1995-07-03,8000.0,鴨肉片,0006
R7M003000015,1995-07-06,1995-07-04,2000.0,全鴨,0007
R4M005000009,1995-07-07,1995-06-29,32576.0,鴨肉片,0004
R10M003000020,1995-07-07,1995-07-01,2000.0,全鴨,0010
R7M002000009,1995-07-07,1995-07-05,2000.0,麵線,0007
R8M004000003,1995-07-07,1995-06-27,20000.0,香草,0008
R9M004000003,1995-07-08,1995-06-30,20000.0,香草,0009
R6M003000020,1995-07-08,1995-07-05,1000.0,全鴨,0006
R2M004000004,1995-07-08,1995-07-03,30000.0,香草,0002
R1M003000014,1995-07-08,1995-06-30,1500.0,全鴨,0001
R3M003000023,1995-07-08,1995-07-01,2500.0,全鴨,0003
R9M003000010,1995-07-10,1995-07-02,1500.0,全鴨,0009
R8M003000010,1995-07-10,1995-06-30,1500.0,全鴨,0008
R9M005000011,1995-07-10,1995-07-02,8000.0,鴨肉片,0009
R2M003000011,1995-07-10,1995-07-05,3000.0,全鴨,0002
R3M005000010,1995-07-10,1995-07-03,20000.0,鴨肉片,0003
R2M005000009,1995-07-12,1995-07-07,20000.0,鴨肉片,0002
R1M004000007,1995-07-13,1995-07-05,10000.0,香草,0001
R4M004000004,1995-07-15,1995-07-07,48304.0,香草,0004
R4M003000013,1995-07-15,1995-07-07,2500.0,全鴨,0004
R7M005000009,1995-07-15,1995-07-13,10000.0,鴨肉片,0007
R7M004000012,1995-07-15,1995-07-13,8000.0,香草,0007
R3M003000024,1995-07-16,1995-07-09,2500.0,全鴨,0003
R10M004000005,1995-07-17,1995-07-11,30000.0,香草,0010
R10M003000021,1995-07-17,1995-07-11,2000.0,全鴨,0010
R10M005000013,1995-07-17,1995-07-11,15000.0,鴨肉片,0010
R6M004000003,1995-07-18,1995-07-15,30000.0,香草,0006
R6M003000021,1995-07-19,1995-07-16,1000.0,全鴨,0006
R5M003000009,1995-07-19,1995-07-13,3065.0,全鴨,0005
R1M005000012,1995-07-19,1995-07-11,10000.0,鴨肉片,0001
R7M003000016,1995-07-19,1995-07-17,2000.0,全鴨,0007
R6M005000014,1995-07-19,1995-07-16,8000.0,鴨肉片,0006
R1M003000015,1995-07-23,1995-07-15,1500.0,全鴨,0001
R3M003000025,1995-07-24,1995-07-17,2500.0,全鴨,0003
R3M004000007,1995-07-24,1995-07-17,30000.0,香草,0003
R9M005000012,1995-07-25,1995-07-17,8000.0,鴨肉片,0009
R7M002000010,1995-07-25,1995-07-23,2000.0,麵線,0007
R4M005000010,1995-07-25,1995-07-17,28849.0,鴨肉片,0004
R8M005000010,1995-07-25,1995-07-15,8000.0,鴨肉片,0008
R10M003000022,1995-07-26,1995-07-20,2000.0,全鴨,0010
R7M001000005,1995-07-27,1995-07-25,5000.0,米,0007
R3M005000011,1995-07-27,1995-07-20,20000.0,鴨肉片,0003
R2M001000004,1995-07-28,1995-07-23,12000.0,米,0002
R6M003000022,1995-07-29,1995-07-26,1000.0,全鴨,0006
R2M003000012,1995-07-29,1995-07-24,3000.0,全鴨,0002
R8M003000011,1995-07-30,1995-07-20,1500.0,全鴨,0008
R5M005000007,1995-07-30,1995-07-24,16036.0,鴨肉片,0005
R5M001000003,1995-07-30,1995-07-24,10000.0,米,0005
R10M005000014,1995-07-30,1995-07-24,15000.0,鴨肉片,0010
R9M001000003,1995-07-30,1995-07-22,10000.0,米,0009
R1M001000005,1995-07-30,1995-07-22,6000.0,米,0001
R6M001000003,1995-07-31,1995-07-28,10000.0,米,0006
R4M003000014,1995-07-31,1995-07-23,2597.0,全鴨,0004
R6M005000015,1995-07-31,1995-07-28,8000.0,鴨肉片,0006
R9M003000011,1995-07-31,1995-07-23,1500.0,全鴨,0009
R2M005000010,1995-08-01,1995-07-27,20000.0,鴨肉片,0002
R4M001000003,1995-08-01,1995-07-24,20000.0,米,0004
R7M003000017,1995-08-01,1995-07-30,2000.0,全鴨,0007
R7M004000013,1995-08-02,1995-07-31,8000.0,香草,0007
R1M005000013,1995-08-02,1995-07-25,10000.0,鴨肉片,0001
R7M005000010,1995-08-03,1995-08-01,10000.0,鴨肉片,0007
R3M003000026,1995-08-03,1995-07-27,2500.0,全鴨,0003
R1M003000016,1995-08-04,1995-07-27,1500.0,全鴨,0001
R10M003000023,1995-08-05,1995-07-30,2000.0,全鴨,0010
R6M003000023,1995-08-08,1995-08-05,1000.0,全鴨,0006
R9M005000013,1995-08-09,1995-08-01,8000.0,鴨肉片,0009
R1M002000004,1995-08-09,1995-08-01,8000.0,麵線,0001
R6M002000003,1995-08-11,1995-08-08,10000.0,麵線,0006
R3M002000003,1995-08-11,1995-08-04,20000.0,麵線,0003
R1M004000008,1995-08-12,1995-08-04,10000.0,香草,0001
R10M005000015,1995-08-12,1995-08-06,15000.0,鴨肉片,0010
R8M005000011,1995-08-12,1995-08-02,8000.0,鴨肉片,0008
R5M003000010,1995-08-12,1995-08-06,2000.0,全鴨,0005
R3M003000027,1995-08-12,1995-08-05,2500.0,全鴨,0003
R5M002000003,1995-08-13,1995-08-07,10000.0,麵線,0005
R7M002000011,1995-08-13,1995-08-11,2000.0,麵線,0007
R6M005000016,1995-08-13,1995-08-10,8000.0,鴨肉片,0006
R4M005000011,1995-08-13,1995-08-05,35564.0,鴨肉片,0004
R3M005000012,1995-08-13,1995-08-06,20000.0,鴨肉片,0003
R3M001000003,1995-08-14,1995-08-07,20000.0,米,0003
R10M003000024,1995-08-15,1995-08-09,2000.0,全鴨,0010
R7M003000018,1995-08-15,1995-08-13,2000.0,全鴨,0007
R9M002000003,1995-08-16,1995-08-08,10000.0,麵線,0009
R4M003000015,1995-08-16,1995-08-08,2500.0,全鴨,0004
